iter	Passed	Remaining
889	1005	124
890	1006	123
891	1007	121
892	1008	120
893	1009	119
894	1010	118
895	1012	117
896	1013	116
897	1014	115
898	1015	114
899	1016	112
900	1017	111
901	1018	110
902	1018	109
903	1020	108
904	1021	107
905	1024	106
906	1025	105
907	1026	104
908	1027	102
909	1028	101
910	1029	100
911	1030	99
912	1031	98
913	1032	97
914	1034	96
915	1035	94
916	1036	93
917	1037	92
918	1039	91
919	1040	90
920	1041	89
921	1042	88
922	1043	87
923	1044	85
924	1045	84
925	1046	83
926	1047	82
927	1048	81
928	1049	80
929	1050	79
930	1051	77
931	1052	76
932	1053	75
933	1054	74
934	1055	73
935	1056	72
936	1057	71
937	1058	69
938	1059	68
939	1060	67
940	1061	66
941	1062	65
942	1063	64
943	1065	63
944	1066	62
945	1067	60
946	1068	59
947	1069	58
948	1070	57
949	1071	56
950	1072	55
951	1073	54
952	1074	52
953	1075	51
954	1076	50
955	1077	49
956	1078	48
957	1079	47
958	1079	46
959	1080	45
960	1081	43
961	1082	42
962	1083	41
963	1084	40
964	1085	39
965	1086	38
966	1087	37
967	1088	35
968	1089	34
969	1089	33
970	1090	32
971	1091	31
972	1092	30
973	1093	29
974	1094	28
975	1095	26
976	1096	25
977	1097	24
978	1098	23
979	1099	22
980	1100	21
981	1101	20
982	1102	19
983	1102	17
984	1104	16
985	1105	15
986	1105	14
987	1106	13
988	1107	12
989	1108	11
990	1109	10
991	1110	8
992	1111	7
993	1112	6
994	1113	5
995	1114	4
996	1115	3
997	1116	2
998	1117	1
999	1118	0
